GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
4148600,160,41,,,,,,Milton-Freewater city,7050,2742,6470,2504,7050,6470
4148650,160,41,,,,,,Milwaukie city,20291,9138,20490,8988,20291,20490
4149450,160,41,,,,,,Molalla city,8108,3017,5647,2027,8108,5647
4149550,160,41,,,,,,Monmouth city,9534,3450,7741,2934,9534,7741
4149600,160,41,,,,,,Monroe city,617,277,607,262,617,607
4149750,160,41,,,,,,Monument city,128,82,151,81,128,151
4150200,160,41,,,,,,Mount Hood CDP,286,121,,,286,
4150235,160,41,,,,,,Mount Hood Village CDP,4864,3635,3306,1903,4864,3306
4150450,160,41,,,,,,Mulino CDP,2103,810,,,2103,
4150950,160,41,,,,,,Myrtle Creek city,3439,1521,3419,1437,3439,3419
4151500,160,41,,,,,,Neahkahnie CDP,192,359,,,192,
4151700,160,41,,,,,,Nehalem city,271,155,203,121,271,203
4151950,160,41,,,,,,Nesika Beach CDP,463,283,,,463,
4152050,160,41,,,,,,Netarts CDP,748,775,744,663,748,744
4152275,160,41,,,,,,New Hope CDP,1515,610,,,1515,
4152400,160,41,,,,,,New Pine Creek CDP,120,61,,,120,
4152450,160,41,,,,,,Newport city,9989,5540,9532,5034,9989,9532
4153000,160,41,,,,,,North Bend city,9695,4450,9544,4291,9695,9544
4153300,160,41,,,,,,North Powder city,439,214,489,209,439,489
4153900,160,41,,,,,,Oak Grove CDP,16629,7473,12808,6015,16629,12808
4153988,160,41,,,,,,Oak Hills CDP,11333,4342,9050,3478,11333,9050
4154000,160,41,,,,,,Oakland city,927,412,954,404,927,954
4154100,160,41,,,,,,Oakridge city,3205,1605,3148,1526,3205,3148
4154325,160,41,,,,,,Oatfield CDP,13415,5451,15750,6110,13415,15750
4154350,160,41,,,,,,O'Brien CDP,504,290,,,504,
4154450,160,41,,,,,,Oceanside CDP,361,647,326,522,361,326
4154550,160,41,,,,,,Odell CDP,2255,686,1849,594,2255,1849
4156500,160,41,,,,,,Parkdale CDP,311,118,266,92,311,266
4157150,160,41,,,,,,Pendleton city,16612,6800,16354,6352,16612,16354
4157300,160,41,,,,,,Peoria CDP,94,48,,,94,
4157450,160,41,,,,,,Philomath city,4584,1837,3838,1434,4584,3838
4157500,160,41,,,,,,Phoenix city,4538,2149,4060,1850,4538,4060
4157850,160,41,,,,,,Pine Grove CDP,148,103,162,110,148,162
4158050,160,41,,,,,,Pistol River CDP,84,47,,,84,
4158550,160,41,,,,,,Plush CDP,57,48,,,57,
4159000,160,41,,,,,,Portland city,583776,265439,529121,237307,583776,529121
4159750,160,41,,,,,,Prescott city,55,31,72,33,55,72
4159850,160,41,,,,,,Prineville city,9253,4181,7356,3022,9253,7356
4160070,160,41,,,,,,Pronghorn CDP,34,100,,,34,
4160100,160,41,,,,,,Prospect CDP,455,247,,,455,
4160900,160,41,,,,,,Raleigh Hills CDP,5896,2886,5865,2786,5896,5865
4161200,160,41,,,,,,Redmond city,26215,10965,13481,5584,26215,13481
4161300,160,41,,,,,,Reedsport city,4154,2207,4378,2178,4154,4378
4161700,160,41,,,,,,Richland city,156,116,147,121,156,147
4161800,160,41,,,,,,Rickreall CDP,77,27,57,26,77,57
4161850,160,41,,,,,,Riddle city,1185,491,1014,406,1185,1014
4162250,160,41,,,,,,Rivergrove city,289,133,324,122,289,324
4162412,160,41,,,,,,Riverside CDP,199,83,189,82,199,189
4162900,160,41,,,,,,Rockaway Beach city,1312,1875,1267,1573,1312,1267
4163450,160,41,,,,,,Rogue River city,2131,1160,1847,949,2131,1847
4163660,160,41,,,,,,Roseburg North CDP,5912,2883,5473,2491,5912,5473
4163800,160,41,,,,,,Rose Lodge CDP,1894,901,1708,826,1894,1708
4163950,160,41,,,,,,Rowena CDP,187,111,148,89,187,148
4164150,160,41,,,,,,Ruch CDP,840,364,,,840,
4164600,160,41,,,,,,St. Helens city,12883,5154,10019,4032,12883,10019
4164900,160,41,,,,,,Salem city,154637,61276,136924,53817,154637,136924
4165250,160,41,,,,,,Sandy city,9570,3768,5385,2080,9570,5385
4165500,160,41,,,,,,Scappoose city,6592,2698,4976,2002,6592,4976
4165650,160,41,,,,,,Scio city,838,324,695,278,838,695
4165950,160,41,,,,,,Seaside city,6457,4638,5900,4078,6457,5900
4166150,160,41,,,,,,Selma CDP,695,330,,,695,
